Designator,Mid X,Mid Y,Rotation,Layer
A1,17.49,40.86,270.0,bottom
BZ1,48.75,30.5,90.0,top
C1,52.25,53.25,90.0,top
C10,40.75,51.05,0.0,top
C11,44.75,51.05,180.0,top
C12,56.45,39.3,270.0,top
C13,62.55,42.2,0.0,top
C14,56.45,36.2,90.0,top
C2,59.35,46.15,0.0,top
C3,57.25,49.75,0.0,top
C35,1.0,17.0,90.0,top
C37,8.5,17.0,270.0,top
C38,20.75,25.45,180.0,top
C39,34.45,18.0,270.0,top
C4,54.5,21.0,270.0,top
C40,40.725,26.5,0.0,top
C41,40.725,32.5,0.0,top
C42,26.0,38.75,90.0,top
C45,65.25,1.25,0.0,top
C46,46.25,21.0,270.0,top
C47,32.85,18.0,270.0,top
C48,40.725,30.95,0.0,top
C6,50.35,42.65,90.0,top
C7,52.55,42.65,90.0,top
C8,46.25,38.05,180.0,top
C9,40.75,49.45,0.0,top
D1,29.15,56.95,90.0,top
D10,58.25,42.2,180.0,top
D2,34.85,61.05,270.0,top
D3,22.95,56.95,90.0,top
D4,26.95,56.95,90.0,top
D5,24.95,56.95,90.0,top
D6,20.95,56.95,90.0,top
D7,18.45,56.95,90.0,top
D8,31.6,61.05,270.0,top
D9,49.55,21.0,90.0,top
F1,33.0,54.95,0.0,top
J1,75.25,46.525,0.0,top
J10,3.25,46.525,0.0,top
J11,3.25,40.31,0.0,top
J12,3.25,34.096,0.0,top
J13,3.25,27.882,0.0,top
J14,3.25,21.667,0.0,top
J16,3.475,56.75,90.0,top
J17,12.0,15.46,180.0,top
J18,75.25,15.452,0.0,top
J19,12.85,54.45,270.0,top
J2,75.25,40.31,0.0,top
J20,21.65,10.15,90.0,top
J21,48.88,17.0,90.0,top
J3,75.25,52.739,0.0,top
J4,75.25,27.882,0.0,top
J5,75.25,34.096,0.0,top
J6,75.25,21.667,0.0,top
J7,44.25,61.2,180.0,top
J8,23.95,65.15,180.0,top
J9,3.25,52.739,0.0,top
L1,38.75,42.45,90.0,top
P1,57.5,58.825,90.0,top
Q1,59.25,20.775,0.0,top
R1,56.2,21.0,270.0,top
R10,47.95,49.45,0.0,top
R11,44.75,49.45,0.0,top
R12,40.725,34.05,0.0,top
R13,20.75,28.65,0.0,top
R14,20.75,30.25,0.0,top
R15,20.75,31.85,0.0,top
R16,17.55,64.35,90.0,top
R17,15.95,64.35,90.0,top
R18,31.25,18.0,90.0,top
R19,20.75,27.05,180.0,top
R2,62.5,25.025,90.0,top
R20,65.25,3.0,180.0,top
R21,40.725,28.05,0.0,top
R22,8.75,56.5,270.0,top
R23,1.0,13.75,90.0,top
R24,20.75,33.45,0.0,top
R25,34.85,57.85,270.0,top
R26,31.6,57.8,270.0,top
R28,28.75,53.5,0.0,top
R29,28.75,51.75,180.0,top
R3,43.55,54.95,90.0,top
R30,34.85,1.65,90.0,top
R31,51.2,21.0,270.0,top
R32,52.85,21.0,270.0,top
R33,47.9,21.0,270.0,top
R4,45.15,54.95,90.0,top
R6,41.95,54.925,90.0,top
R7,40.35,54.95,90.0,top
R8,50.15,46.05,90.0,top
R9,47.95,51.05,180.0,top
SW1,40.5,8.25,270.0,top
SW2,36.5,8.25,90.0,top
SW3,38.5,1.5,0.0,top
U1,57.775,27.315,180.0,top
U2,46.25,44.05,270.0,top
U3,60.25,38.25,270.0,top
U4,53.25,7.25,180.0,top
U5,29.75,29.25,90.0,top
U6,4.75,14.75,90.0,top
U7,41.75,22.5,0.0,top
Y1,28.25,18.0,0.0,top
